source_type,assoc_table,match_columns,match_resolver,value_columns,value_resolver,value_entity,target_property,wrap,filter_column,filter_endswith,param_name,note
subject,subject_disease,subject_id_namespace|subject_local_id,entity_key,disease,ontology_term,disease,diagnosis|healthCondition,ident_ref,association_type,:1,,
subject,subject_phenotype,subject_id_namespace|subject_local_id,entity_key,phenotype,ontology_term,phenotype,healthCondition,ident_ref,association_type,:1,,
subject,subject_substance,subject_id_namespace|subject_local_id,entity_key,substance,ontology_term,substance,drug,ident_ref,,,,
subject,subject_race,subject_id_namespace|subject_local_id,entity_key,race,raw,,additionalProperty,property_value,,,race,
subject,subject_disease,subject_id_namespace|subject_local_id,entity_key,disease,ontology_term,disease,additionalProperty,ruled_out_pv,association_type,:0,,
subject,subject_phenotype,subject_id_namespace|subject_local_id,entity_key,phenotype,ontology_term,phenotype,additionalProperty,ruled_out_pv,association_type,:0,,
biosample,biosample_from_subject,biosample_id_namespace|biosample_local_id,entity_key,subject_id_namespace|subject_local_id,entity_guid,subject,prov:wasDerivedFrom,ident_ref,,,,
biosample,biosample_disease,biosample_id_namespace|biosample_local_id,entity_key,disease,ontology_term,disease,associatedDisease,ident_ref,association_type,:1,,
biosample,biosample_gene,biosample_id_namespace|biosample_local_id,entity_key,gene,ontology_term,gene,hasBioChemEntityPart,ident_ref,,,,
biosample,biosample_substance,biosample_id_namespace|biosample_local_id,entity_key,substance,ontology_term,substance,hasBioChemEntityPart,ident_ref,,,,
biosample,biosample_protein,biosample_id_namespace|biosample_local_id,entity_key,protein,ontology_term,protein,hasBioChemEntityPart,ident_ref,,,,
biosample,biosample_ptm,biosample_id_namespace|biosample_local_id,entity_key,ptm,ontology_term,ptm,hasBioChemEntityPart,ident_ref,,,,
collection,biosample_in_collection,collection_id_namespace|collection_local_id,entity_key,biosample_id_namespace|biosample_local_id,entity_guid,biosample,hasPart,ident_ref,,,,
collection,subject_in_collection,collection_id_namespace|collection_local_id,entity_key,subject_id_namespace|subject_local_id,entity_guid,subject,hasPart,ident_ref,,,,
collection,file_in_collection,collection_id_namespace|collection_local_id,entity_key,file_id_namespace|file_local_id,entity_guid,file,hasPart,ident_ref,,,,
collection,collection_in_collection,superset_collection_id_namespace|superset_collection_local_id,entity_key,subset_collection_id_namespace|subset_collection_local_id,entity_guid,collection,hasPart,ident_ref,,,,
collection,collection_in_collection,subset_collection_id_namespace|subset_collection_local_id,entity_key,superset_collection_id_namespace|superset_collection_local_id,entity_guid,collection,isPartOf,ident_ref,,,,
collection,collection_anatomy,collection_id_namespace|collection_local_id,entity_key,anatomy,ontology_term,anatomy,hasBioChemEntityPart,ident_ref,,,,
collection,collection_disease,collection_id_namespace|collection_local_id,entity_key,disease,ontology_term,disease,associatedDisease,ident_ref,,,,
collection,collection_phenotype,collection_id_namespace|collection_local_id,entity_key,phenotype,ontology_term,phenotype,healthCondition,ident_ref,,,,
collection,collection_gene,collection_id_namespace|collection_local_id,entity_key,gene,ontology_term,gene,hasBioChemEntityPart,ident_ref,,,,
collection,collection_protein,collection_id_namespace|collection_local_id,entity_key,protein,ontology_term,protein,hasBioChemEntityPart,ident_ref,,,,
collection,collection_substance,collection_id_namespace|collection_local_id,entity_key,substance,ontology_term,substance,hasBioChemEntityPart,ident_ref,,,,
collection,collection_compound,collection_id_namespace|collection_local_id,entity_key,compound,ontology_term,compound,hasBioChemEntityPart,ident_ref,,,,
collection,collection_taxonomy,collection_id_namespace|collection_local_id,entity_key,taxon,ontology_term,ncbi_taxonomy,taxonomicRange,ident_ref,,,,
collection,collection_defined_by_project,collection_id_namespace|collection_local_id,entity_key,project_local_id,raw,,additionalProperty,property_value,,,defined_by_project,
anatomy,biosample,anatomy,ontology_term,id_namespace|local_id,entity_guid,biosample,usedBy,ident_ref,,,,
biofluid,biosample,biofluid,ontology_term,id_namespace|local_id,entity_guid,biosample,usedBy,ident_ref,,,,
sample_prep_method,biosample,sample_prep_method,ontology_term,id_namespace|local_id,entity_guid,biosample,usedBy,ident_ref,,,,
assay_type,file,assay_type,ontology_term,id_namespace|local_id,entity_guid,file,usedBy,ident_ref,,,,
analysis_type,file,analysis_type,ontology_term,id_namespace|local_id,entity_guid,file,usedBy,ident_ref,,,,
data_type,file,data_type,ontology_term,id_namespace|local_id,entity_guid,file,usedBy,ident_ref,,,,
file_format,file,file_format,ontology_term,id_namespace|local_id,entity_guid,file,usedBy,ident_ref,,,,
file_format,file,compression_format,ontology_term,id_namespace|local_id,entity_guid,file,usedBy,ident_ref,,,,
disease,biosample_disease,disease,ontology_term,biosample_id_namespace|biosample_local_id,entity_guid,biosample,usedBy,ident_ref,,,,
disease,subject_disease,disease,ontology_term,subject_id_namespace|subject_local_id,entity_guid,subject,usedBy,ident_ref,,,,
phenotype,subject_phenotype,phenotype,ontology_term,subject_id_namespace|subject_local_id,entity_guid,subject,usedBy,ident_ref,,,,
ncbi_taxonomy,subject_role_taxonomy,taxonomy_id,ontology_term,subject_id_namespace|subject_local_id,entity_guid,subject,usedBy,ident_ref,,,,
gene,biosample_gene,gene,ontology_term,biosample_id_namespace|biosample_local_id,entity_guid,biosample,usedBy,ident_ref,,,,
protein,biosample_protein,protein,ontology_term,biosample_id_namespace|biosample_local_id,entity_guid,biosample,usedBy,ident_ref,,,,
substance,biosample_substance,substance,ontology_term,biosample_id_namespace|biosample_local_id,entity_guid,biosample,usedBy,ident_ref,,,,
substance,subject_substance,substance,ontology_term,subject_id_namespace|subject_local_id,entity_guid,subject,usedBy,ident_ref,,,,
