key,kind,iri_base,ontology_name,curie_prefix,note
DOID,curie,http://purl.obolibrary.org/obo/DOID_,Disease Ontology,,
MONDO,curie,http://purl.obolibrary.org/obo/MONDO_,Mondo Disease Ontology,,
UBERON,curie,http://purl.obolibrary.org/obo/UBERON_,Uberon,,
HP,curie,http://purl.obolibrary.org/obo/HP_,Human Phenotype Ontology,,
OBI,curie,http://purl.obolibrary.org/obo/OBI_,Ontology for Biomedical Investigations,,
GO,curie,http://purl.obolibrary.org/obo/GO_,Gene Ontology,,
ILX,curie,http://uri.interlex.org/base/ilx_,InterLex,,
format,curie,http://edamontology.org/format_,EDAM,,
data,curie,http://edamontology.org/data_,EDAM,,
SNOMED,curie,http://snomed.info/id/,SNOMED CT,,
SNOMEDCT,curie,http://snomed.info/id/,SNOMED CT,,
FBBI,curie,http://purl.obolibrary.org/obo/FBbi_,Biological Imaging Methods Ontology,,
LOINC,curie,https://loinc.org/,LOINC,,
MEDDRA,curie,https://identifiers.org/meddra:,MedDRA,,
gene,bare,https://identifiers.org/ensembl:,Ensembl,ensembl,
protein,bare,http://purl.uniprot.org/uniprot/,UniProtKB,uniprot,
substance,bare,https://identifiers.org/pubchem.substance:,PubChem Substance,pubchem.substance,
compound,bare,https://identifiers.org/pubchem.compound:,PubChem Compound,pubchem.compound,
