source_type,discriminator,target_type,target_type_iri,level,id_strategy,id_template,id_column,keep_identifier,mint_prefix,precedence,note
file,,Dataset,,generated,persistent_ark_or_mint,{prefix}-file/{eff_local_id},persistent_id,FALSE,,5,
subject,,Patient,,data,persistent_ark_or_mint,{prefix}-subject/{local_id},persistent_id,FALSE,,10,
biosample,,Sample,,data,persistent_ark_or_mint,{prefix}-biosample/{local_id},persistent_id,FALSE,,20,
collection,,Sample,,data,persistent_ark_or_mint,{prefix}-collection/{local_id},persistent_id,FALSE,,30,
anatomy,,DefinedTerm,,cv,ontology_term,,id,FALSE,,30,
biofluid,,DefinedTerm,,cv,ontology_term,,id,FALSE,,31,
sample_prep_method,,DefinedTerm,,cv,ontology_term,,id,FALSE,,32,
assay_type,,DefinedTerm,,cv,ontology_term,,id,FALSE,,33,
analysis_type,,DefinedTerm,,cv,ontology_term,,id,FALSE,,34,
data_type,,DefinedTerm,,cv,ontology_term,,id,FALSE,,35,
file_format,,DefinedTerm,,cv,ontology_term,,id,FALSE,,36,
disease,,DefinedTerm,,cv,ontology_term,,id,FALSE,,37,
phenotype,,DefinedTerm,,cv,ontology_term,,id,FALSE,,38,
ncbi_taxonomy,,DefinedTerm,,cv,ontology_term,,id,FALSE,,39,
gene,,DefinedTerm,,cv,ontology_term,,id,FALSE,,40,
protein,,DefinedTerm,,cv,ontology_term,,id,FALSE,,41,
substance,,DefinedTerm,,cv,ontology_term,,id,FALSE,,42,
compound,,DefinedTerm,,cv,ontology_term,,id,FALSE,,43,
