source_type,source_property,target_type,target_property,import_parser,export_parser,direction,reverse_primary,requirement,cardinality,constant_value,fallback_source,fallback_parser,source_table,param_name,wrap,note
file,persistent_id,Dataset,identifier,external_pid,,import,FALSE,,scalar,,,,,,,
file,mime_type,Dataset,format,scalar_default,,import,FALSE,,scalar,application/octet-stream,,,,,,
file,access_url,Dataset,contentUrl,first_nonempty,,import,FALSE,,scalar,,persistent_id,,,,,
file,sha256,Dataset,sha256,scalar,,import,FALSE,,scalar,,,,,,,
file,md5,Dataset,md5,scalar,,import,FALSE,,scalar,,,,,,,
file,size_in_bytes,Dataset,contentSize,scalar,,import,FALSE,,scalar,,,,,,,
file,file_format,Dataset,encodingFormat,edam_encoding,,import,FALSE,,scalar,,,,,,,
subject,persistent_id,Patient,identifier,external_pid,,import,FALSE,,scalar,,,,,,,
subject,sex,Patient,gender,sex_map,,import,FALSE,,scalar,,,,,,,
subject,id_namespace,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,id_namespace,property_value,
subject,local_id,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,local_id,property_value,
subject,persistent_id,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,persistent_id,property_value,
subject,creation_time,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,creation_time,property_value,
subject,granularity,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,granularity,property_value,
subject,sex,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,sex,property_value,
subject,ethnicity,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,ethnicity,property_value,
subject,age_at_enrollment,Patient,additionalProperty,property_value,,import,FALSE,,scalar,,,,,age_at_enrollment,property_value,
biosample,persistent_id,Sample,identifier,external_pid,,import,FALSE,,scalar,,,,,,,
biosample,anatomy,Sample,anatomicalStructure,identifier_value_term,,import,FALSE,,scalar,,,,anatomy,,,
biosample,sample_prep_method,Sample,samplePrepMethod,identifier_value_term,,import,FALSE,,scalar,,,,sample_prep_method,,,
biosample,biofluid,Sample,hasBioChemEntityPart,identifier_value_term_list,,import,FALSE,,scalar,,,,biofluid,,,
biosample,id_namespace,Sample,additionalProperty,property_value,,import,FALSE,,scalar,,,,,id_namespace,property_value,
