source_type,source_property,target_type,target_property,import_parser,export_parser,direction,reverse_primary,requirement,cardinality,constant_value,fallback_source,fallback_parser,source_table,param_name,wrap,note
ROCrateMetadataElem,,CroissantDataset,context,,,export,FALSE,,scalar,@DEFAULT_CROISSANT_CONTEXT,,,,,,
ROCrateMetadataElem,,CroissantDataset,@type,,,export,FALSE,,scalar,sc:Dataset,,,,,,
ROCrateMetadataElem,,CroissantDataset,dct:conformsTo,,,export,FALSE,,scalar,@CROISSANT_CONFORMS_TO,,,,,,the Croissant version and the RAI extension
ROCrateMetadataElem,name,CroissantDataset,name,,format_name,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,description,CroissantDataset,description,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,license,CroissantDataset,license,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,associatedPublication,CroissantDataset,citeAs,,parse_cite_as,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,url,CroissantDataset,url,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,keywords,CroissantDataset,keywords,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,version,CroissantDataset,version,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,author,CroissantDataset,creator,,parse_authors_to_person_list,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,publisher,CroissantDataset,publisher,,parse_publisher,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,,CroissantDataset,distribution,,builder:none,export,FALSE,,scalar,,,,,,,filled by the distribution assembly step
ROCrateMetadataElem,,CroissantDataset,recordSet,,builder:record_sets,export,FALSE,,scalar,,,,,,,built from schemas + datasets
ROCrateMetadataElem,rai:dataCollection,CroissantDataset,rai:dataCollection,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataCollectionType,CroissantDataset,rai:dataCollectionType,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataCollectionMissingData,CroissantDataset,rai:dataCollectionMissingData,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataCollectionRawData,CroissantDataset,rai:dataCollectionRawData,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataCollectionTimeframe,CroissantDataset,rai:dataCollectionTimeframe,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataImputationProtocol,CroissantDataset,rai:dataImputationProtocol,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataManipulationProtocol,CroissantDataset,rai:dataManipulationProtocol,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataPreprocessingProtocol,CroissantDataset,rai:dataPreprocessingProtocol,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataAnnotationProtocol,CroissantDataset,rai:dataAnnotationProtocol,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataAnnotationPlatform,CroissantDataset,rai:dataAnnotationPlatform,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:dataAnnotationAnalysis,CroissantDataset,rai:dataAnnotationAnalysis,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,rai:socialImpact,CroissantDataset,rai:socialImpact,,,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,,CroissantDataset,rai:dataUseCases,,builder:rai,export,FALSE,,scalar,rai:dataUseCases,,,,Intended Use,,
ROCrateMetadataElem,,CroissantDataset,rai:dataLimitations,,builder:rai,export,FALSE,,scalar,rai:dataLimitations,,,,Limitations|Prohibited Uses,,
ROCrateMetadataElem,,CroissantDataset,rai:dataBiases,,builder:rai,export,FALSE,,scalar,rai:dataBiases,,,,Potential Sources of Bias,,
ROCrateMetadataElem,,CroissantDataset,rai:personalSensitiveInformation,,builder:personal_sensitive,export,FALSE,,scalar,,,,,,,
ROCrateMetadataElem,,CroissantDataset,rai:dataReleaseMaintenancePlan,,builder:rai,export,FALSE,,scalar,rai:dataReleaseMaintenancePlan,,,,Maintenance Plan,,
Dataset,@id,CroissantFileObject,@id,,croissant_file_id,export,FALSE,,scalar,,,,,,,
Dataset,,CroissantFileObject,@type,,,export,FALSE,,scalar,cr:FileObject,,,,,,
Dataset,name,CroissantFileObject,name,,format_name,export,FALSE,,scalar,,,,,,,
Dataset,description,CroissantFileObject,description,,,export,FALSE,,scalar,,,,,,,
Dataset,contentUrl,CroissantFileObject,contentUrl,,,export,FALSE,,scalar,,,,,,,
Dataset,format,CroissantFileObject,encodingFormat,,map_format_to_mime_type,export,FALSE,,scalar,,,,,,,
Dataset,sha256,CroissantFileObject,sha256,,,export,FALSE,,scalar,,,,,,,
Dataset,md5,CroissantFileObject,md5,,format_md5,export,FALSE,,scalar,,,,,,,
Field,,CroissantField,@type,,,export,FALSE,,scalar,cr:Field,,,,,,
Field,description,CroissantField,description,,,export,FALSE,,scalar,,,,,,,
Field,type,CroissantField,dataType,,map_schema_type_to_croissant_data_type,export,FALSE,,scalar,,,,,,,
