source_type,source_property,target_type,target_property,import_parser,export_parser,direction,reverse_primary,requirement,cardinality,constant_value,fallback_source,fallback_parser,source_table,param_name,wrap,note
D4D,purposes,Dataset,rai_data_use_cases,flatten,reverse_flatten,both,FALSE,recommended,list,,,,,,,
D4D,tasks,Dataset,rai_data_use_cases,flatten,reverse_flatten,both,FALSE,recommended,list,,,,,,,
D4D,addressing_gaps,Dataset,addressingGaps,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,creators,Dataset,author,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,funders,Dataset,funder,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,instances,Dataset,about,flatten_str,reverse_flatten,both,TRUE,recommended,list,,,,,,,about kept as a single ;-joined string
D4D,anomalies,Dataset,dataAnomalies,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,known_biases,Dataset,rai_data_biases,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,known_limitations,Dataset,rai_data_limitations,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,confidential_elements,Dataset,rai_personal_sensitive_information,flatten,reverse_flatten,both,FALSE,recommended,list,,,,,,,
D4D,content_warnings,Dataset,contentWarning,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,subpopulations,Dataset,subpopulations,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,subsets,Dataset,subsets,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,sensitive_elements,Dataset,rai_personal_sensitive_information,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,acquisition_methods,Dataset,rai_data_collection,flatten,reverse_flatten,both,FALSE,recommended,list,,,,,,,
D4D,collection_mechanisms,Dataset,rai_data_collection,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,collection_timeframes,Dataset,rai_data_collection_timeframe,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
D4D,data_collectors,Dataset,rai_data_collection,flatten,reverse_flatten,both,FALSE,recommended,list,,,,,,,
D4D,missing_data_documentation,Dataset,rai_data_collection_missing_data,flatten,reverse_flatten,both,TRUE,recommended,list,,,,,,,
