extension,mime_type,note
txt,text/plain,
tabular,text/tab-separated-values,
tsv,text/tab-separated-values,
csv,text/csv,
interval,text/tab-separated-values,
bed,text/x-bed,
gff,text/x-gff3,
gff3,text/x-gff3,
gtf,text/x-gtf,
fasta,text/x-fasta,
fa,text/x-fasta,
fastq,text/x-fastq,
fastqsanger,text/x-fastq,
fastqsanger.gz,application/gzip,gzipped fastqsanger
fastqillumina,text/x-fastq,
fastqsolexa,text/x-fastq,
sam,text/x-sam,
bam,application/x-bam,
cram,application/x-cram,
vcf,text/x-vcf,
vcf_bgzip,application/gzip,
bcf,application/octet-stream,
bigwig,application/octet-stream,
bigbed,application/octet-stream,
wig,text/plain,
json,application/json,
xml,application/xml,
html,text/html,
pdf,application/pdf,
png,image/png,
jpg,image/jpeg,
svg,image/svg+xml,
h5,application/x-hdf5,
hdf5,application/x-hdf5,
zip,application/zip,
tar,application/x-tar,
gz,application/gzip,
txt.gz,application/gzip,
binary,application/octet-stream,
data,application/octet-stream,
auto,application/octet-stream,detected later by Galaxy
