field_type,validation,json_type,pattern,source_type,note
yesno,*,boolean,,,raw export writes 1/0
truefalse,*,boolean,,,raw export writes 1/0
checkbox,*,integer,,,one column per choice (field___code); 0/1 (minimum/maximum set in parsers)
radio,*,integer,,,pattern and type decided per field from its choice codes (see parsers.choice_type)
dropdown,*,integer,,,same as radio
calc,*,number,,,calculated field; REDCap stores the result
slider,*,integer,,,0-100 unless the field sets min/max
text,integer,integer,,,
text,number,number,,,covers number and number_Ndp validations
text,date,string,,date,raw export always writes YYYY-MM-DD whatever the display validation (date_ymd/mdy/dmy); source-type date validates the format
text,datetime,string,^[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}$,,datetime_ymd/mdy/dmy; a pattern rather than source-type datetime because REDCap writes a space not a T
text,datetime_seconds,string,^[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}$,,datetime_seconds_ymd/mdy/dmy
text,time,string,^[0-9]{2}:[0-9]{2}$,,HH:MM; frictionless time expects seconds so a pattern is used
text,email,string,^[^@\s]+@[^@\s]+\.[^@\s]+$,,
text,zipcode,string,^[0-9]{5}(-[0-9]{4})?$,,
text,phone,string,,,formatting varies by locale; no pattern
text,*,string,,,any other or no validation
notes,*,string,,,
file,*,string,,,export carries the stored file name
signature,*,string,,,
sql,*,string,,,
