"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,enrollment,,text,"Record ID",,,,,,,,y,,,,,
enroll_date,enrollment,,text,"Enrollment date",,,date_ymd,,,,,y,,,,,
site,enrollment,,dropdown,"Enrollment site","1, County clinic A | 2, County clinic B | 3, Mobile unit",,,,,,,y,,,,,
age,enrollment,"Demographics",text,"Age at enrollment (years)",,,integer,18,110,,,y,,,,,
sex,enrollment,,radio,"Sex","1, Female | 2, Male | 3, Intersex | 99, Prefer not to say",,,,,,,y,,,,,
zip,enrollment,,text,"ZIP code of residence",,"5 digits",zipcode,,,y,,,,,,,
dob,enrollment,,text,"Date of birth",,,date_ymd,,,y,,,,,,,
phone,enrollment,,text,"Phone number",,,phone,,,y,,,,,,,
race,enrollment,,checkbox,"Race (select all that apply)","1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Other",,,,,,,,,,,,
vaccinated,exposure,"Vaccination history",yesno,"Received any dose of the seasonal vaccine?",,,,,,,,y,,,,,
doses,exposure,,text,"Number of doses received",,,integer,0,5,,"[vaccinated] = '1'",,,,,,
last_dose_date,exposure,,text,"Date of most recent dose",,,date_ymd,,,,"[vaccinated] = '1'",,,,,,
symptoms,exposure,"Symptoms in the past 14 days",checkbox,"Symptoms","1, Fever | 2, Cough | 3, Shortness of breath | 4, Fatigue | 5, Loss of taste or smell",,,,,,,,,,,,
onset_date,exposure,,text,"Symptom onset date",,,date_ymd,,,,"[symptoms(1)] = '1' or [symptoms(2)] = '1' or [symptoms(3)] = '1' or [symptoms(4)] = '1' or [symptoms(5)] = '1'",,,,,,
temp_c,exposure,,text,"Highest measured temperature (C)",,,number_1dp,34.0,43.0,,,,,,,,
height_cm,followup,"Measurements",text,"Height (cm)",,,number,50,250,,,,,,,,
weight_kg,followup,,text,"Weight (kg)",,,number,2,400,,,,,,,,
bmi,followup,,calc,"Body mass index","[weight_kg]/(([height_cm]/100)^(2))",,,,,,,,,,,,
satisfaction,followup,,slider,"How satisfied were you with the clinic visit?","Not at all | Somewhat | Very",,number,,,,,,,,,,
notes,followup,,notes,"Clinician notes",,,,,,,,,,,,,
consent_info,followup,,descriptive,"Thank you for taking part in this survey.",,,,,,,,,,,,,
